Sample	Plant	Organ_material	Season	Location
Pj_1_Branch_Winter_Primorsky_Krai	Pj_1	Branch	Winter	Primorsky_Krai
Pj_1_Needles_Winter_Primorsky_Krai	Pj_1	Needles	Winter	Primorsky_Krai
Pj_1_Shavings_Summer_Primorsky_Krai	Pj_1	Shavings	Summer	Primorsky_Krai
Pj_1_Shavings_Winter_Primorsky_Krai	Pj_1	Shavings	Winter	Primorsky_Krai
Pj_2_Branch_Autumn_Primorsky_Krai	Pj_2	Branch	Autumn	Primorsky_Krai
Pj_2_Branch_Summer_Primorsky_Krai	Pj_2	Branch	Summer	Primorsky_Krai
Pj_2_Branch_Winter_Primorsky_Krai	Pj_2	Branch	Winter	Primorsky_Krai
Pj_2_Needles_Winter_Primorsky_Krai	Pj_2	Needles	Winter	Primorsky_Krai
Pj_2_Shavings_Summer_Primorsky_Krai	Pj_2	Shavings	Summer	Primorsky_Krai
Pj_2_Shavings_Winter_Primorsky_Krai	Pj_2	Shavings	Winter	Primorsky_Krai
Pj_3_Branch_Autumn_Sakhalin_Oblast	Pj_3	Branch	Autumn	Sakhalin_Oblast
Pj_3_Needles_Autumn_Sakhalin_Oblast	Pj_3	Needles	Autumn	Sakhalin_Oblast
Pj_3_Shavings_Autumn_Sakhalin_Oblast	Pj_3	Shavings	Autumn	Sakhalin_Oblast
Pj_4_Branch_Autumn_Sakhalin_Oblast	Pj_4	Branch	Autumn	Sakhalin_Oblast
Pj_4_Needles_Autumn_Sakhalin_Oblast	Pj_4	Needles	Autumn	Sakhalin_Oblast
Pj_4_Shavings_Autumn_Sakhalin_Oblast	Pj_4	Shavings	Autumn	Sakhalin_Oblast
